symbol,model_name,MFTR,ARR,AVol,MDD,Sharpe,IR,MCFD,MAE,MSE,n_trades,start,end
link,xgboost,0.0002874672263251625,5.921045012850964,0.9932578999899531,-0.17574461442996903,2.440473269073265,-0.046373889576016805,0.49206349206349204,0.0078018636765461585,0.00011379434044076593,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
ltc,gru,-0.00022965377227194135,-0.9000136857948251,0.6275586951872826,-0.1646177840700087,-3.3554765116955267,-0.04632410546120797,0.4720357941834452,0.34287579979754074,0.1176087449783403,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
ltc,xgboost,0.00023014765135209608,4.6124093297573525,0.6281346438882216,-0.1033033007497065,3.059694121566829,0.03350336461369105,0.5279642058165548,0.005747022787700808,5.716297300318962e-05,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
shib,gru,-0.00019128499079432582,-0.8599938130952207,0.6273295170519916,-0.1881194238444196,-2.8209224778445146,-0.04632410546120797,0.5035971223021583,0.2633071467596806,0.06937561639006452,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
shib,xgboost,-0.00019169635636592653,-0.8605749043630824,0.6278948938576211,-0.18811942384441993,-2.8244434657797277,-0.046373889576016805,0.5035971223021583,0.008040967399872449,9.589589639597892e-05,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
sol,gru,0.000295116424543203,8.180788035464973,0.7420387232483227,-0.1613444885850206,3.3572755499658173,-0.04632410546120797,0.5282608695652173,0.493645833782901,0.24374886145524863,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
sol,xgboost,0.00025873676506566655,2.1200600318758074,0.7514384952604272,-0.18506261497674126,1.888101468636704,-0.10306916490832624,0.5228758169934641,0.005452958777719286,6.333089586942836e-05,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
steth,gru,0.00014252338878400104,1.5129422052815094,0.6868809937461466,-0.1641962612088954,1.6808056707789976,-0.04632410546120797,0.538961038961039,0.18510295020456152,0.03431678713710337,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
steth,xgboost,-0.00014304962845010773,-0.7952225437827435,0.6872216487933855,-0.2054181127664827,-1.9605149168039542,-0.020216793313874177,0.4598698481561822,0.004833805438528024,5.4245358489514e-05,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
sui,gru,-0.00019458006926923222,-0.8769855921940107,0.7733366661212968,-0.2102394678294216,-2.3259144871626263,-0.046373889576016805,0.47696476964769646,0.564999722923119,0.31929270220669825,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
